"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"d:\xampp\htdocs\css\bar_anim.css", "CSS", 0, 77, 0, 1, 1, 79
"d:\xampp\htdocs\css\bubble_anim.css", "CSS", 0, 123, 0, 1, 1, 125
"d:\xampp\htdocs\css\index.css", "CSS", 0, 5, 0, 0, 0, 5
"d:\xampp\htdocs\css\index.php", "PHP", 3, 0, 0, 0, 0, 3
"d:\xampp\htdocs\css\login.css", "CSS", 0, 37, 0, 0, 2, 39
"d:\xampp\htdocs\css\post.css", "CSS", 0, 16, 0, 0, 0, 16
"d:\xampp\htdocs\css\style.css", "CSS", 0, 33, 0, 0, 0, 33
"d:\xampp\htdocs\includes\bar_anim.php", "PHP", 7, 0, 0, 0, 1, 8
"d:\xampp\htdocs\includes\bubble_anim.php", "PHP", 8, 0, 0, 0, 2, 10
"d:\xampp\htdocs\includes\db.php", "PHP", 9, 0, 0, 0, 4, 13
"d:\xampp\htdocs\includes\header.php", "PHP", 28, 0, 0, 0, 1, 29
"d:\xampp\htdocs\includes\index.php", "PHP", 3, 0, 0, 0, 0, 3
"d:\xampp\htdocs\includes\login.inc.php", "PHP", 49, 0, 0, 0, 3, 52
"d:\xampp\htdocs\includes\logout.inc.php", "PHP", 5, 0, 0, 0, 1, 6
"d:\xampp\htdocs\includes\post.inc.php", "PHP", 24, 0, 0, 0, 3, 27
"d:\xampp\htdocs\includes\signup.inc.php", "PHP", 74, 0, 0, 2, 4, 80
"d:\xampp\htdocs\index.php", "PHP", 54, 0, 0, 0, 7, 61
"d:\xampp\htdocs\js\index.php", "PHP", 3, 0, 0, 0, 0, 3
"d:\xampp\htdocs\js\signup.js", "JavaScript", 0, 0, 37, 2, 3, 42
"d:\xampp\htdocs\login.php", "PHP", 43, 0, 0, 0, 6, 49
"d:\xampp\htdocs\post.php", "PHP", 39, 0, 0, 0, 5, 44
"d:\xampp\htdocs\signup.php", "PHP", 71, 0, 0, 0, 8, 79
"Total", "-", 420, 291, 37, 6, 52, 806